解算X	解算Y	原始X	原始Y	误差X	误差Y
302.56	2452.12	304.25	2449.5	1.69036	-2.61584
489.016	2451.25	490.25	2447.13	1.23374	-4.1261
674.404	2450.06	675.5	2445.25	1.09569	-4.80552
859.614	2449.16	859.625	2444	0.0114492	-5.16048
1044.31	2448.01	1042.75	2443	-1.55964	-5.00852
1228.43	2447.13	1226.38	2441.88	-2.05136	-5.25432
1595.17	2445.26	1591.38	2441.88	-3.79593	-3.38422
1777.84	2444.37	1774.88	2443.13	-2.96494	-1.24411
1959.86	2443.1	1959.38	2445.88	-0.482955	2.77516
113.776	1996.86	117.135	1995.6	3.35884	-1.26778
300.696	1997.4	302.889	1996.3	2.1934	-1.10271
486.903	1997.7	488.142	1997.16	1.23936	-0.537958
672.85	1997.73	673.875	1997.63	1.0249	-0.108425
858.618	1997.72	858.366	1998.82	-0.251801	1.10369
1043.73	1997.41	1043.28	1998.45	-0.455621	1.04794
1228.43	1997.43	1227.7	1998.01	-0.734635	0.579532
1412.65	1997.17	1411.28	1996.86	-1.36975	-0.307937
1596.67	1996.99	1593.81	1996.04	-2.86347	-0.942802
1779.97	1996.7	1776	1994.75	-3.97289	-1.94604
1963.39	1995.94	1958.38	1994.13	-5.01799	-1.81776
104.868	1066.35	107.32	1067.47	2.45245	1.12555
293.305	1067.23	293.65	1067.55	0.345119	0.326932
481.433	1067.89	480.317	1067.81	-1.11597	-0.0883456
669.043	1068.85	667.75	1067.75	-1.29336	-1.09692
856.15	1069.6	856.049	1068.31	-0.100784	-1.29148
1042.97	1070.62	1043.87	1069.2	0.905802	-1.42065
1229.35	1071.5	1230.88	1070	1.52403	-1.50418
1415.03	1072.45	1417	1071.38	1.96856	-1.07374
1600.1	1073.19	1601.85	1072.53	1.74952	-0.659715
1784.8	1074.15	1784.85	1074.44	0.0536602	0.287697
1968.89	1075.23	1967.38	1075.41	-1.51785	0.171896
104.199	588.97	107.464	591.902	3.26458	2.93161
